Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 408, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 408, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 408, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 408, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 408, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 408, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 408, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 408, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 408, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 408, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 408, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 398, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 388, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 379, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 370, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 361, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 353, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 345, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 337, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 330, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 323, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 317, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 311, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 305, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 300, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 295, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 290, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 286, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 282, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 278, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 275, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 272, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 269, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 267, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 265, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 263, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 262, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 261, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 260, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 260, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 260, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 261, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 262, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 263, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 265, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 267, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 269, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 272, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 275, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
Time: 2024-08-03 15:36, Level: level1, Player Rect Y: 278, Player Actual Y: 1856, Spawn Point Y: 1887, Level Shift Y: -1448
